run_id,solution,N,H_over_dx,execution_type,conditional_status,output_directory,t_final_contract,dt_or_time_control,steps_or_integration_contract,common_time_contract,dependency_predecessors,parameter_source_priority,resolution_status
f5_main_b_dt1p25e4,MMS-B,20,4.357388321059432,main_rk2,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_main_b_dt1p25e4,0.015,dt=1.25e-4,120,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_ref_main_b_baseline=PASS|f5_ref_main_b_tighter=PASS|f5_ref_main_b_third=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_main_b_dt6p25e5,MMS-B,20,4.357388321059432,main_rk2,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_main_b_dt6p25e5,0.015,dt=6.25e-5,240,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_ref_main_b_baseline=PASS|f5_ref_main_b_tighter=PASS|f5_ref_main_b_third=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_hold_a_baseline,MMS-A,28,4.75,heldout_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_hold_a_baseline,0.015,max_step=3.125e-5,adaptive_DOP853_to_bound_t_final,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,none_preexecution_root,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_hold_a_tighter,MMS-A,28,4.75,heldout_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_hold_a_tighter,0.015,max_step=1.5625e-5,adaptive_DOP853_to_bound_t_final,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,none_preexecution_root,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_hold_a_third,MMS-A,28,4.75,heldout_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_hold_a_third,0.015,max_step=7.8125e-6,adaptive_DOP853_to_bound_t_final,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,none_preexecution_root,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_hold_b_baseline,MMS-B,28,4.75,heldout_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_hold_b_baseline,0.015,max_step=3.125e-5,adaptive_DOP853_to_bound_t_final,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,none_preexecution_root,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_hold_b_tighter,MMS-B,28,4.75,heldout_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_hold_b_tighter,0.015,max_step=1.5625e-5,adaptive_DOP853_to_bound_t_final,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,none_preexecution_root,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_ref_hold_b_third,MMS-B,28,4.75,heldout_reference,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_ref_hold_b_third,0.015,max_step=7.8125e-6,adaptive_DOP853_to_bound_t_final,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,none_preexecution_root,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_hold_a_dt1e3,MMS-A,28,4.75,heldout_rk2,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_a_dt1e3,0.015,dt=1e-3,15,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_ref_hold_a_baseline=PASS|f5_ref_hold_a_tighter=PASS|f5_ref_hold_a_third=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
f5_hold_a_dt5e4,MMS-A,28,4.75,heldout_rk2,UNCONDITIONAL,06_experiments/stage_01f5b_requalification_execution/runs/f5_hold_a_dt5e4,0.015,dt=5e-4,30,stage01f5_frozen_common_times;count=16;range=0.000:0.001:0.015;interpolation=false,f5_ref_hold_a_baseline=PASS|f5_ref_hold_a_tighter=PASS|f5_ref_hold_a_third=PASS,run_row>stage01f5_frozen_config>no_default,RESOLVED
